slide_id,x,y,label,png_path,y_true,y_prob,y_pred,epoch
2024-04-09 14.23.49,54955,25884,0,results/patches_norm/0/2024-04-09 14.23.49__x54955__y25884__mpp0.230__r486.png,0,0.9960441589355469,1,2
2024-04-09 14.23.49,54955,26127,0,results/patches_norm/0/2024-04-09 14.23.49__x54955__y26127__mpp0.230__r486.png,0,0.9823240041732788,1,2
2024-04-09 14.23.49,14381,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y28071__mpp0.230__r486.png,0,0.9588093757629395,1,2
2024-04-09 14.23.49,52525,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x52525__y27099__mpp0.230__r486.png,0,0.9439744353294373,1,2
2024-04-09 14.23.49,52525,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x52525__y27342__mpp0.230__r486.png,0,0.9013376235961914,1,2
2024-04-09 14.23.49,56899,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x56899__y27099__mpp0.230__r486.png,0,0.8809731602668762,1,2
1039408,131529,49189,0,results/patches_norm/0/1039408__x131529__y49189__mpp0.252__r445.png,0,0.7908162474632263,1,2
2024-04-09 14.23.49,55198,25884,0,results/patches_norm/0/2024-04-09 14.23.49__x55198__y25884__mpp0.230__r486.png,0,0.7821117639541626,1,2
2024-04-09 14.23.49,14138,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x14138__y28071__mpp0.230__r486.png,0,0.7717521786689758,1,2
2024-04-09 14.23.49,14624,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x14624__y27828__mpp0.230__r486.png,0,0.7716867327690125,1,2
2024-04-09 14.23.49,11709,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11709__y28071__mpp0.230__r486.png,0,0.7450441718101501,1,2
2024-04-09 14.23.49,14624,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x14624__y28071__mpp0.230__r486.png,0,0.7398475408554077,1,2
2024-04-09 14.23.49,11466,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x11466__y28071__mpp0.230__r486.png,0,0.7309256196022034,1,2
2024-04-09 14.23.49,51311,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x51311__y26856__mpp0.230__r486.png,0,0.6862732768058777,1,2
2024-04-09 14.23.49,51796,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x51796__y27828__mpp0.230__r486.png,0,0.6479626893997192,1,2
2024-04-09 14.23.49,56656,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x56656__y27099__mpp0.230__r486.png,0,0.6191073060035706,1,2
2024-04-09 14.23.49,14381,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y27828__mpp0.230__r486.png,0,0.6081228256225586,1,2
2024-04-09 14.23.49,55441,28071,0,results/patches_norm/0/2024-04-09 14.23.49__x55441__y28071__mpp0.230__r486.png,0,0.568473756313324,1,2
2024-04-09 14.23.49,14381,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y27342__mpp0.230__r486.png,0,0.5666858553886414,1,2
2024-04-09 14.23.49,52525,26856,0,results/patches_norm/0/2024-04-09 14.23.49__x52525__y26856__mpp0.230__r486.png,0,0.5656501054763794,1,2
2024-04-09 14.23.49,52282,27342,0,results/patches_norm/0/2024-04-09 14.23.49__x52282__y27342__mpp0.230__r486.png,0,0.5523362755775452,1,2
2024-04-09 14.23.49,14381,27099,0,results/patches_norm/0/2024-04-09 14.23.49__x14381__y27099__mpp0.230__r486.png,0,0.5058905482292175,1,2
2024-04-09 14.23.49,10737,27828,0,results/patches_norm/0/2024-04-09 14.23.49__x10737__y27828__mpp0.230__r486.png,0,0.5022730827331543,1,2
