slide_id,x,y,label,png_path,y_true,y_prob,y_pred,epoch
002,65112,41200,1,results/patches_norm/1/002__x65112__y41200__mpp0.253__r443.png,1,9.699931524664862e-07,0,3
002,90134,24814,1,results/patches_norm/1/002__x90134__y24814__mpp0.253__r443.png,1,2.758856453510816e-06,0,3
002,65112,40978,1,results/patches_norm/1/002__x65112__y40978__mpp0.253__r443.png,1,4.061788331455318e-06,0,3
1,37264,5053,1,results/patches_norm/1/1__x37264__y5053__mpp0.253__r443.png,1,6.642318567173788e-06,0,3
1,37264,4831,1,results/patches_norm/1/1__x37264__y4831__mpp0.253__r443.png,1,1.6121337466756813e-05,0,3
1,37486,11917,1,results/patches_norm/1/1__x37486__y11917__mpp0.253__r443.png,1,2.030059476965107e-05,0,3
002,65112,41421,1,results/patches_norm/1/002__x65112__y41421__mpp0.253__r443.png,1,4.518166315392591e-05,0,3
002,89912,24814,1,results/patches_norm/1/002__x89912__y24814__mpp0.253__r443.png,1,4.591931792674586e-05,0,3
002,64891,41200,1,results/patches_norm/1/002__x64891__y41200__mpp0.253__r443.png,1,5.164275717106648e-05,0,3
002,65112,40535,1,results/patches_norm/1/002__x65112__y40535__mpp0.253__r443.png,1,5.34267928742338e-05,0,3
002,65112,40314,1,results/patches_norm/1/002__x65112__y40314__mpp0.253__r443.png,1,5.5222611990757287e-05,0,3
002,44298,11971,1,results/patches_norm/1/002__x44298__y11971__mpp0.253__r443.png,1,6.242655217647552e-05,0,3
002,65112,40757,1,results/patches_norm/1/002__x65112__y40757__mpp0.253__r443.png,1,9.873889939626679e-05,0,3
002,89912,23928,1,results/patches_norm/1/002__x89912__y23928__mpp0.253__r443.png,1,0.0001260113640455529,0,3
002,44298,11749,1,results/patches_norm/1/002__x44298__y11749__mpp0.253__r443.png,1,0.0001397093292325735,0,3
1,37264,5939,1,results/patches_norm/1/1__x37264__y5939__mpp0.253__r443.png,1,0.0002969389606732875,0,3
CNS_2_1_H&E_M_57_TX2_M94403,19715,93880,1,results/patches_norm/1/CNS_2_1_H&E_M_57_TX2_M94403__x19715__y93880__mpp0.221__r506.png,1,0.000332184717990458,0,3
1,37486,12139,1,results/patches_norm/1/1__x37486__y12139__mpp0.253__r443.png,1,0.000414665206335485,0,3
1,37043,5053,1,results/patches_norm/1/1__x37043__y5053__mpp0.253__r443.png,1,0.0004689179768320173,0,3
002,89912,24149,1,results/patches_norm/1/002__x89912__y24149__mpp0.253__r443.png,1,0.0007103972020559013,0,3
002,45405,13964,1,results/patches_norm/1/002__x45405__y13964__mpp0.253__r443.png,1,0.0007500355714000762,0,3
002,89691,24814,1,results/patches_norm/1/002__x89691__y24814__mpp0.253__r443.png,1,0.0009635565802454948,0,3
1,37707,12139,1,results/patches_norm/1/1__x37707__y12139__mpp0.253__r443.png,1,0.001075328211300075,0,3
1,37043,4831,1,results/patches_norm/1/1__x37043__y4831__mpp0.253__r443.png,1,0.001184868044219911,0,3
CNS_3_A_H&E_M_47_TX2_M94403,147835,85148,1,results/patches_norm/1/CNS_3_A_H&E_M_47_TX2_M94403__x147835__y85148__mpp0.221__r506.png,1,0.0012883157469332218,0,3
002,90134,23928,1,results/patches_norm/1/002__x90134__y23928__mpp0.253__r443.png,1,0.0013642540434375405,0,3
002,65112,40093,1,results/patches_norm/1/002__x65112__y40093__mpp0.253__r443.png,1,0.0015213347505778074,0,3
002,32119,58471,1,results/patches_norm/1/002__x32119__y58471__mpp0.253__r443.png,1,0.0015437110560014844,0,3
1,37707,11696,1,results/patches_norm/1/1__x37707__y11696__mpp0.253__r443.png,1,0.001986960880458355,0,3
002,32119,58250,1,results/patches_norm/1/002__x32119__y58250__mpp0.253__r443.png,1,0.0022288160398602486,0,3
002,90134,24371,1,results/patches_norm/1/002__x90134__y24371__mpp0.253__r443.png,1,0.0023565127048641443,0,3
1,37707,11917,1,results/patches_norm/1/1__x37707__y11917__mpp0.253__r443.png,1,0.00237643881700933,0,3
002,44962,13964,1,results/patches_norm/1/002__x44962__y13964__mpp0.253__r443.png,1,0.0024264976382255554,0,3
1028748,46252,7636,1,results/patches_norm/1/1028748__x46252__y7636__mpp0.252__r444.png,1,0.002593608107417822,0,3
002,45183,13964,1,results/patches_norm/1/002__x45183__y13964__mpp0.253__r443.png,1,0.0027575858402997255,0,3
1,37486,11696,1,results/patches_norm/1/1__x37486__y11696__mpp0.253__r443.png,1,0.0032552583143115044,0,3
002,90134,24149,1,results/patches_norm/1/002__x90134__y24149__mpp0.253__r443.png,1,0.0035604105796664953,0,3
1,39479,11032,1,results/patches_norm/1/1__x39479__y11032__mpp0.253__r443.png,1,0.0037191263400018215,0,3
1,36821,4831,1,results/patches_norm/1/1__x36821__y4831__mpp0.253__r443.png,1,0.004781240131705999,0,3
1028748,47141,8080,1,results/patches_norm/1/1028748__x47141__y8080__mpp0.252__r444.png,1,0.004869930911809206,0,3
1,36821,5053,1,results/patches_norm/1/1__x36821__y5053__mpp0.253__r443.png,1,0.005306232254952192,0,3
1028748,47141,7858,1,results/patches_norm/1/1028748__x47141__y7858__mpp0.252__r444.png,1,0.005404636263847351,0,3
CNS_2_1_H&E_M_57_TX2_M94403,19715,94132,1,results/patches_norm/1/CNS_2_1_H&E_M_57_TX2_M94403__x19715__y94132__mpp0.221__r506.png,1,0.005515327677130699,0,3
1028748,47141,7636,1,results/patches_norm/1/1028748__x47141__y7636__mpp0.252__r444.png,1,0.005769249051809311,0,3
1028748,46252,7414,1,results/patches_norm/1/1028748__x46252__y7414__mpp0.252__r444.png,1,0.006428093649446964,0,3
002,64891,40978,1,results/patches_norm/1/002__x64891__y40978__mpp0.253__r443.png,1,0.006489001680165529,0,3
002,88362,24149,1,results/patches_norm/1/002__x88362__y24149__mpp0.253__r443.png,1,0.006827617064118385,0,3
